,Total,No,No %,Yes,Yes %,Don't know,Don't know %
PT,785.0,650.0,0.83,119.0,0.15,15.0,0.02
D-E,426.0,355.0,0.84,69.0,0.16,2.0,0.0
NL,1026.0,845.0,0.83,168.0,0.16,13.0,0.01
IT,882.0,707.0,0.8,150.0,0.17,24.0,0.03
FI,1022.0,847.0,0.83,175.0,0.17,0.0,0.0
AT,920.0,723.0,0.79,164.0,0.18,32.0,0.03
DE,1483.0,1196.0,0.81,276.0,0.18,11.0,0.01
BE,1043.0,834.0,0.8,209.0,0.2,0.0,0.0
D-W,1056.0,838.0,0.79,209.0,0.2,9.0,0.01
CY,419.0,320.0,0.76,90.0,0.22,9.0,0.02
BG,812.0,491.0,0.6,186.0,0.23,135.0,0.17
EL,815.0,629.0,0.77,184.0,0.23,1.0,0.0
FR,902.0,662.0,0.73,209.0,0.23,31.0,0.04
EU27,23915.0,17417.0,0.73,5860.0,0.24,637.0,0.03
ES,860.0,607.0,0.71,213.0,0.25,39.0,0.04
DK,1027.0,709.0,0.69,299.0,0.29,18.0,0.02
LT,1047.0,735.0,0.7,312.0,0.3,0.0,0.0
LU,550.0,380.0,0.69,170.0,0.31,0.0,0.0
HR,937.0,592.0,0.63,301.0,0.32,44.0,0.05
IE,1050.0,702.0,0.67,348.0,0.33,1.0,0.0
LV,932.0,571.0,0.61,318.0,0.34,43.0,0.05
HU,874.0,557.0,0.64,300.0,0.34,16.0,0.02
SI,1036.0,671.0,0.65,362.0,0.35,3.0,0.0
PL,833.0,491.0,0.59,299.0,0.36,42.0,0.05
CZ,1050.0,652.0,0.62,397.0,0.38,1.0,0.0
RO,766.0,446.0,0.58,286.0,0.38,33.0,0.04
MT,475.0,244.0,0.52,186.0,0.39,44.0,0.09
SE,1040.0,552.0,0.53,479.0,0.46,9.0,0.01
SK,907.0,379.0,0.42,473.0,0.52,55.0,0.06
EE,1011.0,437.0,0.43,573.0,0.57,1.0,0.0
