,TOTAL,Every day or almost everyday,Every day or almost everyday %,At least once a week,At least once a week %,Several times a month,Several times a month %,Seldom or Never,Seldom or Never %,DK/NA,DK/NA %,Total 'At least once a week',Total 'At least once a week' %
EU28,26576.00,9858.00,0.37,8141.00,0.31,3188.00,0.12,4448.00,0.17,942.00,0.03,17999.00,0.68
BE,1001.00,310.00,0.31,324.00,0.32,150.00,0.15,179.00,0.18,39.00,0.04,634.00,0.63
BG,1001.00,400.00,0.40,275.00,0.27,81.00,0.08,199.00,0.20,47.00,0.05,674.00,0.67
CZ,1000.00,403.00,0.40,280.00,0.28,129.00,0.13,139.00,0.14,49.00,0.05,684.00,0.68
DK,1002.00,252.00,0.25,334.00,0.33,153.00,0.15,197.00,0.20,66.00,0.07,586.00,0.58
DE,1000.00,242.00,0.24,327.00,0.33,137.00,0.14,256.00,0.25,37.00,0.04,569.00,0.57
EE,1000.00,235.00,0.23,314.00,0.31,139.00,0.14,225.00,0.23,86.00,0.09,549.00,0.54
IE,1002.00,330.00,0.33,357.00,0.36,132.00,0.13,149.00,0.15,33.00,0.03,688.00,0.69
EL,1001.00,550.00,0.55,192.00,0.19,180.00,0.18,59.00,0.06,20.00,0.02,742.00,0.74
ES,1004.00,531.00,0.53,257.00,0.25,88.00,0.09,109.00,0.11,20.00,0.02,788.00,0.78
FR,1004.00,389.00,0.39,364.00,0.36,92.00,0.09,136.00,0.14,24.00,0.02,753.00,0.75
HR,1005.00,475.00,0.47,289.00,0.29,107.00,0.11,92.00,0.09,41.00,0.04,764.00,0.76
IT,1000.00,367.00,0.37,311.00,0.31,113.00,0.11,180.00,0.18,30.00,0.03,678.00,0.68
CY,500.00,226.00,0.45,80.00,0.16,98.00,0.20,74.00,0.15,23.00,0.04,306.00,0.61
LV,1001.00,349.00,0.35,285.00,0.28,120.00,0.12,195.00,0.20,51.00,0.05,634.00,0.63
LT,1002.00,230.00,0.23,299.00,0.30,159.00,0.16,216.00,0.21,98.00,0.10,529.00,0.53
LU,505.00,189.00,0.38,168.00,0.33,56.00,0.11,85.00,0.17,7.00,0.01,357.00,0.71
HU,1002.00,521.00,0.52,252.00,0.25,75.00,0.07,116.00,0.12,38.00,0.04,773.00,0.77
MT,520.00,142.00,0.27,142.00,0.27,65.00,0.13,108.00,0.21,62.00,0.12,285.00,0.54
NL,1007.00,255.00,0.25,337.00,0.34,183.00,0.18,191.00,0.19,41.00,0.04,592.00,0.59
AT,1000.00,308.00,0.31,353.00,0.35,135.00,0.14,180.00,0.18,24.00,0.02,661.00,0.66
PL,1000.00,476.00,0.48,272.00,0.27,69.00,0.07,144.00,0.14,39.00,0.04,748.00,0.75
PT,1000.00,320.00,0.32,285.00,0.29,144.00,0.14,209.00,0.21,41.00,0.04,605.00,0.61
RO,1000.00,411.00,0.41,266.00,0.27,92.00,0.09,163.00,0.16,67.00,0.07,677.00,0.68
SI,1002.00,308.00,0.31,325.00,0.32,120.00,0.12,208.00,0.21,41.00,0.04,633.00,0.63
SK,1001.00,446.00,0.45,281.00,0.28,105.00,0.10,145.00,0.15,24.00,0.02,726.00,0.73
FI,1001.00,184.00,0.18,316.00,0.32,182.00,0.18,286.00,0.29,33.00,0.03,500.00,0.50
SE,1000.00,253.00,0.25,325.00,0.33,150.00,0.15,221.00,0.22,51.00,0.05,578.00,0.58
UK,1015.00,387.00,0.38,311.00,0.31,155.00,0.15,122.00,0.12,39.00,0.04,698.00,0.69
