,TOTAL,"Yes, definitely","Yes, definitely %","Yes, to some extent","Yes, to some extent %","No, not really","No, not really %","No, definitely not","No, definitely not %",DK/NA,DK/NA %,Total 'Yes',Total 'Yes' %,Total 'No',Total 'No' %
EU28,26576.00,11692.00,0.44,10813.00,0.41,2488.00,0.09,884.00,0.03,699.00,0.03,22505.00,0.85,3372.00,0.12
BE,1001.00,280.00,0.28,425.00,0.42,224.00,0.22,47.00,0.05,25.00,0.03,705.00,0.70,271.00,0.27
BG,1001.00,692.00,0.69,199.00,0.20,56.00,0.06,34.00,0.03,20.00,0.02,891.00,0.89,90.00,0.09
CZ,1000.00,433.00,0.43,365.00,0.37,130.00,0.13,37.00,0.04,34.00,0.03,798.00,0.80,168.00,0.17
DK,1002.00,172.00,0.17,557.00,0.56,186.00,0.19,43.00,0.04,43.00,0.04,729.00,0.73,230.00,0.23
DE,1000.00,392.00,0.39,447.00,0.45,115.00,0.12,24.00,0.02,21.00,0.02,840.00,0.84,139.00,0.14
EE,1000.00,266.00,0.27,464.00,0.46,179.00,0.18,26.00,0.03,65.00,0.06,730.00,0.73,205.00,0.21
IE,1002.00,238.00,0.24,533.00,0.53,170.00,0.17,40.00,0.04,22.00,0.02,771.00,0.77,210.00,0.21
EL,1001.00,634.00,0.63,266.00,0.27,34.00,0.03,49.00,0.05,18.00,0.02,900.00,0.90,83.00,0.08
ES,1004.00,508.00,0.51,375.00,0.37,50.00,0.05,53.00,0.05,19.00,0.02,882.00,0.88,103.00,0.10
FR,1004.00,397.00,0.40,447.00,0.45,84.00,0.08,53.00,0.05,23.00,0.02,844.00,0.85,137.00,0.13
HR,1005.00,437.00,0.43,431.00,0.43,77.00,0.08,28.00,0.03,31.00,0.03,869.00,0.86,105.00,0.11
IT,1000.00,599.00,0.60,304.00,0.30,59.00,0.06,24.00,0.02,14.00,0.02,903.00,0.90,83.00,0.08
CY,500.00,347.00,0.69,109.00,0.22,16.00,0.03,10.00,0.02,17.00,0.04,456.00,0.91,27.00,0.05
LV,1001.00,392.00,0.39,434.00,0.43,110.00,0.11,28.00,0.03,37.00,0.04,826.00,0.82,138.00,0.14
LT,1002.00,459.00,0.46,366.00,0.37,97.00,0.10,34.00,0.03,45.00,0.04,825.00,0.83,132.00,0.13
LU,505.00,107.00,0.21,262.00,0.52,106.00,0.21,20.00,0.04,11.00,0.02,369.00,0.73,125.00,0.25
HU,1002.00,615.00,0.61,276.00,0.28,50.00,0.05,16.00,0.02,45.00,0.04,891.00,0.89,66.00,0.07
MT,520.00,316.00,0.61,128.00,0.25,48.00,0.09,8.00,0.01,20.00,0.04,444.00,0.86,56.00,0.10
NL,1007.00,261.00,0.26,525.00,0.52,173.00,0.17,27.00,0.03,21.00,0.02,786.00,0.78,200.00,0.20
AT,1000.00,364.00,0.36,469.00,0.47,113.00,0.11,31.00,0.03,24.00,0.03,833.00,0.83,144.00,0.14
PL,1000.00,493.00,0.49,352.00,0.35,91.00,0.09,29.00,0.03,35.00,0.04,845.00,0.84,120.00,0.12
PT,1000.00,426.00,0.42,417.00,0.42,117.00,0.12,23.00,0.02,18.00,0.02,842.00,0.84,140.00,0.14
RO,1000.00,617.00,0.62,238.00,0.24,75.00,0.07,33.00,0.03,37.00,0.04,854.00,0.86,109.00,0.10
SI,1002.00,432.00,0.43,452.00,0.45,50.00,0.05,37.00,0.04,32.00,0.03,883.00,0.88,87.00,0.09
SK,1001.00,444.00,0.44,424.00,0.43,78.00,0.08,33.00,0.03,22.00,0.02,867.00,0.87,111.00,0.11
FI,1001.00,290.00,0.29,462.00,0.46,183.00,0.18,35.00,0.04,31.00,0.03,752.00,0.75,218.00,0.22
SE,1000.00,380.00,0.38,473.00,0.47,97.00,0.10,27.00,0.03,24.00,0.02,852.00,0.85,124.00,0.13
UK,1015.00,329.00,0.32,524.00,0.52,93.00,0.09,25.00,0.03,44.00,0.04,853.00,0.84,118.00,0.12
