,Base: Total,Base: Weighted Total,A great deal,A great deal pct,Some,Some pct,Not very much,Not very much pct,None at all,None at all pct,Don't know,Don't know pct
EU27,18156.000,18156.000,1643.000,0.090,6415.000,0.353,6228.000,0.343,3366.000,0.185,503.000,0.028
BE,548.000,548.000,20.000,0.036,155.000,0.282,233.000,0.426,123.000,0.224,18.000,0.032
BG,513.000,513.000,51.000,0.099,154.000,0.301,175.000,0.341,120.000,0.234,13.000,0.026
CZ,520.000,520.000,32.000,0.061,183.000,0.351,204.000,0.392,95.000,0.182,8.000,0.015
DK,535.000,535.000,35.000,0.065,182.000,0.339,215.000,0.402,83.000,0.156,21.000,0.039
DE,1548.000,1548.000,168.000,0.108,657.000,0.425,519.000,0.336,151.000,0.098,52.000,0.034
EE,513.000,513.000,36.000,0.071,207.000,0.404,189.000,0.369,57.000,0.111,23.000,0.045
IE,568.000,568.000,58.000,0.103,213.000,0.375,190.000,0.335,99.000,0.175,7.000,0.013
EL,547.000,547.000,43.000,0.079,152.000,0.278,226.000,0.413,121.000,0.222,5.000,0.008
ES,1519.000,1519.000,184.000,0.121,663.000,0.436,453.000,0.298,205.000,0.135,14.000,0.009
FR,1512.000,1512.000,128.000,0.085,371.000,0.245,482.000,0.319,462.000,0.305,69.000,0.046
HR,527.000,527.000,20.000,0.038,167.000,0.317,173.000,0.329,157.000,0.298,10.000,0.019
IT,1498.000,1498.000,103.000,0.069,447.000,0.298,553.000,0.369,364.000,0.243,32.000,0.021
CY,107.000,107.000,12.000,0.112,23.000,0.211,37.000,0.343,33.000,0.309,3.000,0.025
LV,538.000,538.000,26.000,0.048,136.000,0.254,220.000,0.408,138.000,0.256,19.000,0.035
LT,535.000,535.000,70.000,0.130,218.000,0.408,161.000,0.301,77.000,0.145,9.000,0.017
LU,106.000,106.000,5.000,0.044,27.000,0.252,38.000,0.357,35.000,0.330,2.000,0.016
HU,553.000,553.000,48.000,0.088,225.000,0.406,158.000,0.285,117.000,0.212,5.000,0.009
MT,103.000,103.000,7.000,0.071,30.000,0.294,38.000,0.367,26.000,0.254,1.000,0.013
NL,578.000,578.000,34.000,0.060,234.000,0.405,211.000,0.365,84.000,0.146,14.000,0.025
AT,528.000,528.000,84.000,0.159,222.000,0.420,155.000,0.295,56.000,0.105,11.000,0.021
PL,1496.000,1496.000,130.000,0.087,537.000,0.359,556.000,0.372,214.000,0.143,58.000,0.039
PT,564.000,564.000,58.000,0.103,222.000,0.394,171.000,0.304,105.000,0.186,8.000,0.014
RO,532.000,532.000,60.000,0.113,198.000,0.372,172.000,0.323,98.000,0.183,5.000,0.009
SI,528.000,528.000,26.000,0.050,189.000,0.358,197.000,0.373,106.000,0.201,10.000,0.018
SK,528.000,528.000,53.000,0.101,188.000,0.356,179.000,0.340,97.000,0.184,10.000,0.020
FI,548.000,548.000,22.000,0.041,213.000,0.388,218.000,0.398,83.000,0.152,12.000,0.022
SE,564.000,564.000,51.000,0.091,193.000,0.343,206.000,0.364,89.000,0.157,25.000,0.045
